NaN,1,2,3,4,5
0,6,4,NaN,NaN,NaN
0.5,6,4,NaN,NaN,NaN
1,6,4,NaN,NaN,NaN
1.5,6,4,NaN,NaN,NaN
2,6,3,4,NaN,NaN
2.5,6,3,NaN,NaN,NaN
3,6,1,10,9,3
3.5,6,1,10,9,NaN
4,6,1,10,9,NaN
4.5,6,1,10,NaN,NaN
5,6,1,10,NaN,NaN
5.5,6,1,10,NaN,NaN
6,6,1,10,NaN,NaN
6.5,6,1,7,10,NaN
7,1,7,10,NaN,NaN
7.5,1,7,10,NaN,NaN
8,1,2,7,10,NaN
8.5,1,2,7,10,NaN
9,1,2,7,10,NaN
9.5,1,2,7,10,NaN
10,1,2,7,10,NaN
10.5,1,2,7,10,NaN
11,1,2,7,NaN,NaN
11.5,1,2,7,NaN,NaN
12,1,2,8,7,NaN
12.5,1,2,8,7,NaN
13,1,2,8,7,NaN
13.5,1,2,8,7,NaN
14,2,8,7,NaN,NaN
14.5,2,3,8,1,NaN
15,2,3,8,1,NaN
15.5,2,3,8,1,NaN
16,2,3,8,1,NaN
16.5,2,3,9,8,NaN
17,2,3,9,NaN,NaN
17.5,2,3,9,NaN,NaN
18,2,3,NaN,NaN,NaN
18.5,2,3,9,NaN,NaN
19,2,3,9,NaN,NaN
19.5,2,3,9,NaN,NaN
20,2,3,9,8,NaN
20.5,3,9,NaN,NaN,NaN
21,3,9,NaN,NaN,NaN
21.5,3,9,2,NaN,NaN
22,3,9,NaN,NaN,NaN
22.5,3,10,9,NaN,NaN
23,3,6,10,9,NaN
23.5,3,6,10,9,NaN
24,3,5,6,NaN,NaN
24.5,3,4,5,6,NaN
25,3,4,5,6,NaN
25.5,3,4,5,6,NaN
26,3,4,5,6,NaN
26.5,3,4,5,6,NaN
27,3,4,5,6,NaN
27.5,3,4,5,6,NaN
28,4,5,6,NaN,NaN
28.5,4,5,6,NaN,NaN
29,4,5,6,NaN,NaN
29.5,4,5,6,NaN,NaN
30,4,5,6,NaN,NaN
30.5,4,5,6,NaN,NaN
31,4,5,6,NaN,NaN
31.5,4,5,6,NaN,NaN
32,4,5,6,NaN,NaN
